Th I | 500.209708 | 7800 | 6d2.7s2 | *
Th I | 500.359802 | 610 | 6d2.7s2 | *
Th I | 500.412800 | 690 | 6d3.(4P).7s | *
Th II | 501.588942 | 800 | 6d2.(1G).7s | 5f.(2F*).6d2.(1G)
Ar II | 501.71626 | 7413 | 3s2.3p4.(3P).3d | 3s2.3p4.(1D).4p
Th II | 501.725419 | 2200 | 5f.6d.(3F*).7s | 5f.7s.(3F*).7p
Th I | 501.750848 | 610 | 6d3.(4F).7s | 6d2.7s.7p
Th I | 501.980614 | 2000 | 6d2.7s2 | *
Th I | 502.200505 | 850 | 6d3.(4F).7s | *
Th II | 502.860554 | 1300 | 5f.6d.(3H*).7s | 5f.6d.(3H*).7p
Th I | 502.865559 | 6100 | 6d3.(4F).7s | *
Th I | 502.989170 | 1300 | 6d2.7s2 | *
Th I | 503.923030 | 5300 | 6d2.7s2 | *
Th I | 504.112247 | 800 | 5f.6d2.7s | 5f.6d2.7p
Th I | 504.471948 | 9700 | 6d2.7s2 | 6d2.7s.7p
Th I | 504.476666 | 630 | 5f.6d.7s2 | 6d4
Th I | 504.524856 | 1500 | 6d3.(4F).7s | *
Th I | 504.704345 | 2400 | 6d2.7s2 | *
Th II | 504.979609 | 2400 | 5f.6d.(3F*).7s | 5f.7s.(3F*).7p
Th I | 504.984624 | 550 | 6d3.(2G).7s | *
Th I | 505.078422 | 2600 | 6d2.7s2 | *
Th I | 505.188863 | 1300 | 6d3.(4F).7s | *
Th II | 505.534734 | 960 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 505.798646 | 620 | 6d2.7s2 | *
Th I | 505.836083 | 740 | 6d3.(4F).7s | *
Th I | 505.986099 | 2200 | 6d3.(4F).7s | *
Th I | 506.165630 | 600 | 6d3.(4F).7s | *
Th I | 506.293253 | 640 | 6d3.(2G).7s | *
Th I | 506.351554 | 590 | 6d3.(4F).7s | *
Th I | 506.399892 | 590 | 6d2.7s2 | *
Th I | 506.460204 | 3900 | 6d2.7s2 | *
Th I | 506.494536 | 4700 | 6d2.7s2 | *
Th I | 506.519254 | 2200 | 5f.6d.7s2 | *
Th I | 506.613565 | 1300 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 506.677733 | 730 | 5f.6d2.7s | *
Th I | 506.713792 | 510 | 5f.6d.7s2 | *
Th I | 506.797381 | 15000 | 5f.6d.7s2 | *
Th I | 508.144609 | 670 | 6d3.(4F).7s | *
Th I | 508.499360 | 680 | 5f.6d.7s2 | *
Th I | 509.054533 | 970 | 6d2.7s2 | 6d2.7s.7p
Th I | 509.075102 | 640 | 6d3.(2H).7s | *
Th I | 509.5074 | 1800 | 5f.7s2.7p | *
Th I | 509.648476 | 2700 | 6d2.7s2 | *
Th II | 509.804320 | 680 | 6d2.(3F).7s | 5f.6d.(1P*).7s
Th I | 510.062111 | 3500 | 6d2.7s2 | *
Th I | 510.112961 | 670 | 6d2.7s2 | 6d2.7s.7p
Th I | 511.127820 | 1200 | 6d3.(4F).7s | *
Th I | 511.504465 | 6800 | 6d2.7s2 | *
Th I | 511.729231 | 510 | 5f.6d2.7s | *
Th I | 512.249950 | 510 | 5f.6d.7s2 | *
Th I | 512.548949 | 650 | 6d.7s2.7p | *
Th I | 512.595027 | 1400 | 6d2.7s2 | 6d2.7s.7p
Th I | 512.848983 | 1200 | 6d3.(4F).7s | *
Th I | 513.474594 | 2100 | 6d2.7s2 | 5f.6d2.7s
Th I | 513.747314 | 580 | 6d2.7s2 | *
Th I | 514.0716 | 570 | 6d3.(4F).7s | *
Th I | 514.077360 | 670 | 6d3.(4F).7s | *
Th II | 514.326734 | 900 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 514.391646 | 2900 | 5f.6d.7s2 | *
Th II | 514.503837 | 530 | 5f.6d.(3F*).7s | 5f2.(3F).7s
Th II | 514.821149 | 910 | 5f.(2F*).6d2.(3F) | 5f.6d.(3H*).7p
Th I | 515.161187 | 6000 | 6d2.7s2 | *
Th I | 515.424301 | 7800 | 5f.6d.7s2 | 5f.6d.7s.7p
Th I | 515.860420 | 16000 | 6d2.7s2 | *
Th I | 516.069321 | 780 | 6d2.7s.7p | *
Th II | 516.069321 | 780 | 6d2.(3F).7s | 5f.(2F*).6d2.(3F)
Th I | 516.073077 | 970 | 6d2.7s2 | *
Th I | 516.153960 | 2200 | 5f.6d.7s2 | 6d4
Th I | 516.345843 | 3300 | 6d2.7s2 | *
Th I | 517.367155 | 630 | 5f.6d.7s2 | *
Th I | 517.532472 | 900 | 6d3.(4F).7s | *
Th I | 517.591150 | 550 | 5f.6d.7s2 | *
Th I | 517.640388 | 610 | 6d2.7s2 | *
Th I | 517.696110 | 5000 | 5f.6d.7s2 | *
Th I | 517.762284 | 700 | 5f.6d.7s2 | *
Th II | 518.252695 | 560 | 5f.(2F*).6d2.(3F) | 5f2.(3H).6d
Th II | 518.398965 | 570 | 5f.6d.(3F*).7s | 5f.7s.(3F*).7p
Th I | 518.445343 | 670 | 5f.6d.7s2 | *
Th I | 518.733738 | 1400 | 6d2.7s2 | *
Th II | 519.087201 | 740 | 6d.(2D).7s2 | 6d.7s.(3D).7p
Th II | 519.382561 | 600 | 6d.7s2 | 5f.6d.(3D*).7s
Th I | 519.445757 | 1900 | 6d3.(4F).7s | *
Th I | 519.581364 | 5100 | 6d2.7s2 | *
Th I | 519.879977 | 3000 | 5f.6d.7s2 | *
